resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
IC08700,"BOMBA RECIRCULACIÓN 6500 l/h Y 7,0 m.c.a. AGUA CALIENTE",Material,General,u,10057.05,10057.05,10057.05,10057.05,1,MXN,10057.05,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos auxiliares
IC08500,"BOMBA RECIRCULACIÓN 5000 l/h Y 5,0 m.c.a. AGUA CALIENTE",Material,General,u,7900.6,7900.6,7900.6,7900.6,1,MXN,7900.6,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos auxiliares
IC08300,"BOMBA RECIRCULACIÓN 3000 l/h Y 4,0 m.c.a. AGUA CALIENTE",Material,General,u,6464.65,6464.65,6464.65,6464.65,1,MXN,6464.65,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos auxiliares
IC08200,"BOMBA RECIRCULACIÓN 1250 l/h Y 2,5 m.c.a. AGUA CALIENTE",Material,General,u,2513.9,2513.9,2513.9,2513.9,1,MXN,2513.9,1.0,1,1,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos auxiliares
XT12750,PANEL RÍGIDO LANA MINERAL 30 mm DENSIDAD 70 kg/m3,Material,General,m2,116.5,116.5,116.5,116.5,1,MXN,117.66,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12734,PANEL SEMIRRÍGIDO LANA MINERAL + P. KRAFF 80 mm D 30 kg/m3,Material,General,m2,122.65,122.65,122.65,122.65,1,MXN,123.87,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12733,PANEL SEMIRRÍGIDO LANA MINERAL + P. KRAFF 60 mm D 30 kg/m3,Material,General,m2,112.52,112.52,112.52,112.52,1,MXN,113.64,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12732,PANEL SEMIRRÍGIDO LANA MINERAL + P. KRAFF 50 mm D 30 kg/m3,Material,General,m2,102.02,102.02,102.02,102.02,1,MXN,103.05,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12731,PANEL SEMIRRÍGIDO LANA MINERAL + P. KRAFF 40 mm D 30 kg/m3,Material,General,m2,92.26,92.26,92.26,92.26,1,MXN,93.18,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT12730,PANEL SEMIRRÍGIDO LANA MINERAL + P. KRAFF 30 mm D 30 kg/m3,Material,General,m2,60.42,60.42,60.42,60.42,1,MXN,61.02,1.01,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
XT15101,POLIESTIRENO EXPANDIDO ELASTIFICADO 20MM,Material,General,m2,39.07,39.07,39.07,39.07,1,MXN,41.03,1.05,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Paredes
KM03900,LISTÓN PINO FLANDES 45X45 mm,Material,General,m,56.62,56.62,56.62,56.62,1,MXN,56.62,1.0,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Techos
KM04100,LISTÓN PINO FLANDES 60X60 mm,Material,General,m,97.86,97.86,97.86,97.86,1,MXN,97.86,1.0,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Techos
KM03800,LISTÓN PINO FLANDES 35X20 mm,Material,General,m,40.16,40.16,40.16,40.16,1,MXN,40.16,1.0,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Techos
XT11701,PANEL RÍGIDO FIBRA VIDRIO 30 mm DENSIDAD 61 kg/m3,Material,General,m2,88.28,88.28,88.28,88.28,1,MXN,93.66,1.061,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Suelos
AGM00900,MORTERO DE CEMENTO ALIGERADO CEM II/A-L 32.5 N Y PERLITA B-10,Material,Concrete & Cement,m3,13291.81,13291.81,13291.81,13291.81,1,MXN,2060.23,0.155,1,1,AISLAMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),AISLAMIENTOS,Suelos
